Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Antigen processing and presentation	30/78	1.42615733670363e-23	3.75079379553054e-21	0	0	17.578581871345	924.712044019463	HLA-DMA;HLA-DMB;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;PDIA3;CD74;HLA-DRB5;KLRC3;KLRC4;CD8B2;HLA-B;HLA-C;TAP1;HLA-A;HLA-F;HLA-E;TAPBP;CD8B;IFNG;CD8A;PSME1;HLA-DPB1;PSME2;HLA-DRA;KLRD1;CALR;HLA-DRB1;HLA-DQB1
Graft-versus-host disease	21/42	8.03904281104297e-20	1.05713412965215e-17	0	0	27.7994227994228	1222.26811506828	HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;FASLG;HLA-A;HLA-F;HLA-E;HLA-DMA;HLA-DMB;IFNG;HLA-DPB1;HLA-DRA;KLRD1;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	20/38	1.5981439163573e-19	1.09992075030021e-17	0	0	30.8485430675632	1335.13339224792	HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;FASLG;HLA-A;HLA-F;HLA-E;HLA-DMA;HLA-DMB;IFNG;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Parkinson disease	45/249	1.67288327041856e-19	1.09992075030021e-17	0	0	6.29187549459246	272.026519673072	NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB2;ATP5MC3;UBE2L6;UQCR11;COX7A2;UQCR10;PARK7;COX5B;COX6A1;PSMA7;UBE2L3;GNAI2;PSMB6;ATP5F1B;PSMB2;PSMB3;CASP3;PSMB1;UQCRFS1;COX8A;NDUFA3;ADRM1;NDUFA1;COX6C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;COX6B1;PSMA5;SEM1;UQCRQ;NDUFS5;NDUFAB1;GNAS;CALM1;SLC25A5;CALM2;SLC25A4;SLC25A6
Type I diabetes mellitus	20/43	3.86493858831046e-18	2.0329576974513e-16	0	0	24.1360731737877	967.725858700442	HLA-DRB5;PRF1;HLA-B;GZMB;HLA-C;FASLG;HLA-A;HLA-F;HLA-E;HLA-DMA;HLA-DMB;IFNG;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Prion disease	44/273	3.92313304210071e-17	1.55374506894974e-15	0	0	5.46508505507397	206.454824175152	NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB2;ATP5MC3;UQCR11;COX7A2;PIK3R1;UQCR10;COX5B;COX6A1;PSMA7;PSMB6;ATP5F1B;PSMB2;PSMB3;CASP3;CCL5;PSMB1;RAC2;UQCRFS1;MAPK1;FYN;COX8A;NDUFA3;ADRM1;NDUFA1;CYBA;COX6C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;COX6B1;PSMA5;SEM1;UQCRQ;NDUFS5;NDUFAB1;SLC25A5;SLC25A4;SLC25A6
Viral myocarditis	22/60	4.1354431492959e-17	1.55374506894974e-15	0	0	16.1034377852145	607.491756834057	HLA-DRB5;ITGB2;PRF1;HLA-B;HLA-C;HLA-A;ITGAL;HLA-F;HLA-E;HLA-DMA;HLA-DMB;CASP3;RAC2;HLA-DPB1;HLA-DRA;FYN;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Human immunodeficiency virus 1 infection	38/212	1.54547563494436e-16	5.08075114987957e-15	0	0	6.17438617969122	224.784887073017	CXCR4;CD3G;FASLG;PIK3R1;RNF7;CD3E;CD3D;GNAI2;GNGT2;GNG2;GNG5;CASP3;CFL1;PLCG2;RAC2;MAPK1;PTK2B;ELOB;BAK1;CCR5;APOBEC3C;PDIA3;MAP2K2;APOBEC3G;PRKCB;APOBEC3H;HLA-B;HLA-C;NFATC2;TAP1;HLA-A;HLA-F;HLA-E;RBX1;TAPBP;CALR;CALM1;CALM2
Natural killer cell mediated cytotoxicity	30/131	2.35270389937868e-16	6.87512361707326e-15	0	0	8.33116206357478	299.803500343051	ITGB2;PRF1;FASLG;PIK3R1;ITGAL;FCGR3A;KLRK1;CASP3;KLRC4-KLRK1;PLCG2;RAC2;MAPK1;PTK2B;FYN;MAP2K2;PRKCB;KLRC3;SH2D1A;HLA-B;HLA-C;NFATC2;GZMB;HLA-A;HLA-E;IFNG;LCK;KLRD1;PTPN6;HCST;CD244
Human T-cell leukemia virus 1 infection	37/219	2.80595412044911e-15	7.14093284691933e-14	0	0	5.73675069391465	192.221493459216	ITGB2;SLC2A1;CD3G;PIK3R1;CD3E;ITGAL;CD3D;ANAPC11;HLA-DMA;HLA-DMB;MAPK1;BUB3;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DRB5;MAP2K2;TGFB1;CDKN2A;HLA-B;HLA-C;NFATC2;HLA-A;HLA-F;HLA-E;TGFBR2;LCK;HLA-DPB1;HLA-DRA;CALR;SLC25A5;SLC25A4;HLA-DRB1;MAD1L1;HLA-DQB1;SLC25A6
