p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.25364382462876	0.842	0.369	0	c5	FOSB
0	2.04518571494675	0.873	0.428	0	c5	FOS
0	1.64492726296893	0.867	0.489	0	c5	PPP1R15A
0	1.42261851320535	0.808	0.452	0	c5	MYADM
0	1.97500376023048	0.559	0.226	0	c5	NR4A1
0	1.83172600070141	0.896	0.574	0	c5	ANXA1
0	1.45762633397873	0.635	0.32	0	c5	SERTAD1
0	1.67685520996881	0.538	0.244	0	c5	NEU1
0	1.4523157727275	0.718	0.432	0	c5	LMNA
0	0.996836487395041	0.888	0.607	0	c5	IL7R
0	1.37689775782382	0.621	0.347	0	c5	CDKN1A
0	1.35943400858906	0.732	0.461	0	c5	UBE2S
0	1.17417782763003	0.643	0.382	0	c5	CSRNP1
0	1.36234572732575	0.877	0.616	0	c5	HSPA1B
0	1.6609440927476	0.51	0.253	0	c5	PNP
0	1.3166060109704	0.957	0.705	0	c5	DUSP1
0	1.38075350109247	0.639	0.391	0	c5	CITED2
0	2.26054916171782	0.363	0.117	0	c5	EGR1
0	1.25591258290024	0.843	0.597	0	c5	TUBB4B
0	1.21395815991896	0.499	0.278	0	c5	H2AFX
0	1.25847610438866	0.598	0.383	0	c5	ODC1
0	1.25367191276806	0.908	0.697	0	c5	KLF6
0	1.23620734806131	0.882	0.673	0	c5	JUN
0	1.57403400139253	0.361	0.158	0	c5	RASGEF1B
0	1.19269154186038	0.73	0.53	0	c5	CD69
0	1.05556294462164	0.763	0.572	0	c5	TUBA1A
0	1.16319678061886	0.854	0.677	0	c5	HSPA1A
0	1.08081795327272	0.967	0.792	0	c5	DNAJA1
0	0.949215972526187	0.882	0.709	0	c5	RGCC
0	0.772162889873258	0.94	0.775	0	c5	JUNB
0	0.922273398238633	0.946	0.789	0	c5	ZFP36
0	0.830706700609018	0.875	0.731	0	c5	TNFAIP3
0	0.963561571163991	0.977	0.836	0	c5	DNAJB1
0	0.972973769991728	0.922	0.783	0	c5	TSC22D3
0	0.881901810179788	0.94	0.836	0	c5	CRIP1
0	0.783722611695181	0.973	0.89	0	c5	UBB
0	0.7383242992732	0.976	0.897	0	c5	HSP90AB1
0	0.679414476875047	0.989	0.944	0	c5	HSP90AA1
0	0.812400262505601	0.994	0.956	0	c5	HSPA8
0	0.565210112433761	0.997	0.974	0	c5	H3F3B
0	0.588036213446051	0.998	0.979	0	c5	EIF1
0	0.396526704739723	0.999	0.987	0	c5	PTMA
0	0.371262854819147	0.999	0.989	0	c5	TPT1
2.22467128690153e-301	0.699713865983324	0.962	0.887	4.40262447677812e-297	c5	ZFP36L2
2.14582731337234e-286	0.442862422993876	0.988	0.949	4.24659225316386e-282	c5	UBC
1.46942773136205e-277	0.887782662879924	0.732	0.559	2.90799748036549e-273	c5	BTG2
1.46998344352636e-270	0.308566433843695	1	0.996	2.90909723473867e-266	c5	RPLP1
4.83003296726437e-250	0.946453735435049	0.736	0.574	9.55863524221619e-246	c5	NFKBIA
7.5779086664093e-250	1.52367112988434	0.341	0.17	1.4996681250824e-245	c5	ATF3
6.81064409764074e-249	1.24713922601807	0.415	0.233	1.3478264669231e-244	c5	BAG3
1.42112152492051e-245	2.81000798168711	0.067	0.011	2.81239949781769e-241	c5	FOXJ1
2.95976446048678e-238	0.631671788637669	0.837	0.677	5.85737386730335e-234	c5	HSPH1
1.01001981473414e-234	0.72021251662267	0.802	0.677	1.99882921335887e-230	c5	DYNLL1
2.36566667414918e-233	2.04204832672498	0.121	0.034	4.68165434814124e-229	c5	ID1
1.58404343803755e-228	0.477723758491698	0.796	0.641	3.13482196387632e-224	c5	TUBA1B
4.54906915427543e-222	0.680502392452924	0.79	0.623	9.00260785631108e-218	c5	NR4A2
9.8128233898072e-222	1.06127406730316	0.474	0.3	1.94195774884285e-217	c5	ANKRD37
9.15254029306853e-221	0.958925132328294	0.538	0.365	1.81128772399826e-216	c5	XBP1
4.48169899003856e-216	0.823650277788639	0.777	0.663	8.8692823012863e-212	c5	ZFP36L1
3.35768515798935e-212	0.594473298386044	0.958	0.893	6.64485892766093e-208	c5	VIM
2.71011141610978e-208	0.958764261744404	0.552	0.392	5.36331049248125e-204	c5	EIF4A3
7.32636002221087e-208	1.26759969017124	0.296	0.147	1.44988664839553e-203	c5	TUBB2A
4.07730733305618e-206	0.91105341762147	0.584	0.427	8.06899121211818e-202	c5	DDX3X
4.37623337517186e-205	1.16742318759586	0.372	0.209	8.66056584946512e-201	c5	MARCKSL1
7.00527334228142e-201	0.85611345614465	0.658	0.508	1.38634359443749e-196	c5	IER2
4.3173956381889e-197	0.581719873848374	0.745	0.598	8.54412596797583e-193	c5	HSPA5
4.00338146628599e-196	1.1626999086419	0.367	0.211	7.92269192177998e-192	c5	IER5
7.46568608506415e-195	0.684725375728529	0.757	0.632	1.47745927623419e-190	c5	BRD2
6.78104459780246e-194	0.994192345691383	0.464	0.301	1.34196872590511e-189	c5	PLK3
2.18379160217632e-189	1.50003125537453	0.249	0.117	4.32172358070693e-185	c5	HSPA6
2.92674993137334e-187	0.966488044435004	0.478	0.316	5.79203811418784e-183	c5	CKS2
3.90811974816819e-183	0.636388917711405	0.675	0.513	7.73416898162485e-179	c5	TAGAP
1.50680328738536e-179	2.51460811674658	0.064	0.014	2.98196370573564e-175	c5	EMP1
8.8602501207076e-179	0.695298660602686	0.757	0.639	1.75344349888803e-174	c5	H2AFZ
1.28033711149846e-178	0.776635030712133	0.565	0.375	2.53378714365545e-174	c5	KLF2
1.22502783850724e-174	0.99402292061318	0.414	0.26	2.42433009240583e-170	c5	AQP3
1.74878944415429e-174	1.47827112511492	0.208	0.093	3.46085430998134e-170	c5	ANKRD28
