Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	56/200	6.00885080262995e-28	3.00442540131497e-26	0	0	8.18572135609998	513.074049269971	BTG3;CD83;CXCL1;SAT1;CXCL2;ICAM1;IFIH1;CCND1;MYC;ZC3H12A;NAMPT;MAP3K8;IER2;DUSP4;KDM6B;DUSP2;TSC22D1;DUSP1;IFNGR2;FOS;TRAF1;TUBB2A;IL1B;NINJ1;TRIB1;IL6ST;CD44;BIRC3;PPP1R15A;PFKFB3;RELB;SOCS3;NFIL3;CCL5;HES1;LDLR;ABCA1;GADD45B;GADD45A;TNFRSF9;CFLAR;NFKB1;FOSL2;EIF1;NFKB2;NR4A2;EFNA1;KLF6;TNIP1;TNIP2;ID2;BHLHE40;BCL3;REL;FOSB;NFE2L2
Myc Targets V1	54/200	3.88910833352569e-26	9.72277083381423e-25	0	0	7.76712328767123	454.446868921616	YWHAE;HSP90AB1;MCM7;RPL34;RPLP0;HNRNPU;HNRNPR;PHB2;PSMD7;XPO1;MYC;RACK1;CCT3;CCT2;SMARCC1;STARD7;PABPC4;RPS6;ILF2;NME1;CCNA2;CLNS1A;CANX;MCM4;HPRT1;PABPC1;PPIA;SRSF7;SF3B3;PSMD14;ODC1;NOLC1;DDX21;TYMS;GSPT1;HSPD1;PPM1G;LDHA;PRDX4;RPS3;PGK1;CYC1;BUB3;CCT7;CCT5;CCT4;HNRNPA3;RRM1;PTGES3;EIF2S2;IMPDH2;SERBP1;EIF3J;RAN
G2-M Checkpoint	49/200	8.24433957961559e-22	1.3740565966026e-20	0	0	6.77512714500018	328.914436231851	TOP2A;CCNT1;NUMA1;HNRNPU;HMGB3;MKI67;SMC4;SMC2;KIF15;LMNB1;MT2A;XPO1;CCND1;EXO1;MYC;NUSAP1;SMARCC1;ATRX;KNL1;CCNA2;SLC7A5;ILF3;DDX39A;INCENP;NCL;MTF2;MCM3;KIF2C;NUP98;TOP1;KIF20B;ODC1;NOLC1;HIF1A;GSPT1;RACGAP1;RAD21;BUB3;PLK4;HSPA8;TGFB1;NDC80;TPX2;CENPE;CENPF;UBE2S;PRC1;KIF4A;BCL3
mTORC1 Signaling	45/200	1.44848025090026e-18	1.81060031362533e-17	0	0	6.03353561162568	247.833609965116	PPP1R15A;GPI;TFRC;PSMD14;SHMT2;UBE2D3;CXCR4;ATP2A2;AK4;SLC1A4;GLRX;ENO1;HSPD1;STIP1;LDHA;PNP;NFIL3;NAMPT;SERPINH1;PGK1;LDLR;CTSC;HSPA9;TPI1;RRM2;ELOVL5;HSPA4;CACYBP;EIF2S2;CCT6A;SLC7A5;ACLY;DDX39A;P4HA1;MTHFD2;PPA1;DDIT4;CANX;BHLHE40;MCM4;CD9;HPRT1;BCAT1;PPIA;GAPDH
IL-2/STAT5 Signaling	44/199	7.12362186775753e-18	7.12362186775753e-17	0	0	5.89297412265154	232.672977266188	CD83;RGS16;ODC1;CAPG;FURIN;ITGAE;IKZF2;PDCD2L;SOCS2;IL1RL1;PNP;SYNGR2;NFIL3;GLIPR2;MYC;NFKBIZ;TNFSF10;SPP1;CTLA4;SNX9;MAP3K8;TNFRSF4;GABARAPL1;GADD45B;IL1R2;TNFRSF9;TNFRSF18;HUWE1;RHOH;TRAF1;TNFRSF1B;BATF;ADAM19;PLSCR1;KLF6;P4HA1;SELL;IRF4;IL2RA;BHLHE40;IL3RA;IL2RB;PLIN2;CD44
E2F Targets	40/200	8.49006418907956e-15	7.07505349089963e-14	0	0	5.16575492341357	167.369838770828	TOP2A;TFRC;MCM7;NOLC1;HMGB3;BRCA1;MKI67;SMC4;GSPT1;LMNB1;TBRG4;RAD51AP1;PNN;PRDX4;XPO1;RACGAP1;MYC;RAD21;RBBP7;DLGAP5;PLK4;RRM2;EED;PAICS;NME1;CENPE;NUDT21;ILF3;DDX39A;MTHFD2;UBE2S;KIF4A;ANP32E;TIMELESS;MCM3;MCM4;KIF2C;NCAPD2;TRIP13;RAN
Hypoxia	35/200	2.25136799372315e-11	1.60811999551653e-10	0	0	4.3580637715567	106.84620493975	PPP1R15A;GPI;PFKFB3;CITED2;ZNF292;HDLBP;CXCR4;AK4;GLRX;ENO1;ETS1;MT2A;LDHA;UGP2;NFIL3;PGK1;IDS;TPI1;DUSP1;SIAH2;MIF;FOS;DCN;FOSL2;ISG20;EFNA1;KLF6;P4HA1;CCNG2;DDIT4;BHLHE40;MYH9;PLIN2;S100A4;GAPDH
Interferon Gamma Response	33/200	4.15170018842906e-10	2.59481261776816e-09	0	0	4.05057637168659	87.5018996054313	MVP;HIF1A;ICAM1;IFIH1;SOCS3;MT2A;PNP;RNF213;CCL5;NAMPT;TNFSF10;STAT4;CASP1;B2M;PTPN1;VCAM1;STAT3;MX1;HLA-B;ARID5B;NFKB1;ISG20;PLSCR1;ZNFX1;MTHFD2;IRF4;IL2RB;PSME1;PELI1;FAS;XCL1;XAF1;GPR18
IL-6/JAK/STAT3 Signaling	20/87	3.47502188602747e-09	1.9305677144597e-08	0	0	6.06570999392758	118.145867611676	PTPN1;TGFB1;IL1R1;IFNGR2;IL1R2;EBI3;STAT3;CXCL1;TNFRSF1B;SOCS3;IL1B;IL2RA;IL3RA;FAS;CD9;MAP3K8;LTBR;IL6ST;CD44;CRLF2
p53 Pathway	31/200	6.62355129473612e-09	3.01070513397096e-08	0	0	3.75151134389404	70.6508406921953	PPP1R15A;POM121;NOTCH1;EI24;RGS16;NOL8;SLC3A2;SAT1;TOB1;ZFP36L1;LDHB;RPL36;RACK1;CASP1;SFN;S100A10;PLK3;GPX2;TGFB1;TSC22D1;GADD45A;VDR;DNTTIP2;FOS;TPD52L1;KRT17;TRAF4;DDIT4;NINJ1;FAS;S100A4
