gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HLA-C	1.51179800402484e-140	0.458881912222265	0.997	0.98	2.99184824996516e-136
RPS27	1.59241885608012e-125	0.591081648759133	0.997	0.982	3.15139691618256e-121
MT-ATP6	6.73405177392902e-101	0.438050763652453	0.996	0.981	1.33266884606055e-96
TMSB4X	2.44537146762515e-96	0.463680970093691	0.999	0.993	4.83939013443017e-92
RPS29	1.364379663731e-95	0.798199886385415	0.893	0.811	2.70010735452365e-91
RPL41	1.14263477826106e-86	0.572730830357768	0.951	0.918	2.26127422617864e-82
MT-ND3	2.15909580093031e-77	0.421446627361197	0.983	0.941	4.27285059004109e-73
RPL37A	2.7673129456136e-76	0.479265491721576	0.939	0.864	5.47651231936932e-72
CRIP1	5.57727487334123e-75	0.699810844499725	0.948	0.882	1.10374269743423e-70
MT-ND5	1.38869830756206e-74	0.399422108281827	0.975	0.946	2.74823395066531e-70
CD52	2.33606979248806e-73	0.730626475306495	0.849	0.763	4.62308211933387e-69
EIF1	1.64346502648655e-70	0.353610106341265	0.997	0.978	3.25241728741689e-66
RPS26	5.12432755821875e-70	-0.613050761495317	0.906	0.916	1.01410442377149e-65
AKR1C2	1.0840837835642e-67	-10.1598899048605	0	0.063	2.14540180767356e-63
UBE2S	4.41085815036659e-59	0.899416456273405	0.662	0.51	8.72908827957549e-55
RPS28	4.9631706624071e-53	0.320846999997465	0.995	0.972	9.82211474090365e-49
SATB1	9.4235151911905e-52	-1.03902245150735	0.23	0.407	1.8649136563366e-47
RPS21	1.81340160460499e-51	0.401430583880697	0.976	0.933	3.58872177551328e-47
HSPD1	2.67111961512757e-50	-0.655025299908818	0.788	0.869	5.28614571833745e-46
FXYD3	4.67018687153085e-50	-6.03605524342194	0.001	0.05	9.24229981875955e-46
HES4	7.3167933603876e-50	-2.045319816101	0.057	0.168	1.44799340602071e-45
ANXA1	1.37500682848903e-48	0.836734404497917	0.68	0.56	2.72113851357978e-44
KRT5	6.93808095260407e-48	-7.8256850530508	0	0.044	1.37304622052035e-43
RPL38	8.14210402752967e-48	0.474755024251959	0.867	0.799	1.61132238704812e-43
MT-ND1	1.73044323727741e-47	0.295701608638342	0.991	0.967	3.424547166572e-43
GPX2	2.22238193969185e-47	-8.58972284008248	0	0.044	4.39809385865017e-43
HNRNPU	2.72064855148509e-47	-0.644620594807133	0.634	0.771	5.38416348338898e-43
HLA-B	4.68012330074931e-47	0.346050549428938	0.998	0.999	9.26196401218289e-43
NOP58	1.10158351971332e-46	-0.671357317170143	0.51	0.668	2.18003378551267e-42
RGCC	3.00527214628011e-46	0.631170514769737	0.897	0.84	5.94743357748833e-42
SEC14L1	9.3300075564752e-46	-1.03387604219989	0.231	0.39	1.84640849542644e-41
RPL27A	4.10963547906815e-44	0.397570920021642	0.892	0.81	8.13296861307586e-40
SPP1	8.48601321894386e-44	-2.80466570533105	0.022	0.097	1.67938201602899e-39
LMNA	1.11689732240287e-43	0.901800657557998	0.707	0.59	2.21033980103527e-39
B2M	3.06396928389134e-41	0.160195123264128	1	0.999	6.06359521282096e-37
FOSB	3.77872237492126e-41	0.803633315422792	0.653	0.521	7.47809157996917e-37
HSPH1	6.69799613447921e-40	-0.562592735424346	0.766	0.859	1.32553343501343e-35
RPL34	7.82438703260934e-40	0.29754827428716	0.995	0.969	1.54844619375339e-35
TMSB10	8.0175696835668e-40	0.354654105255478	0.981	0.961	1.58667704037787e-35
STAT3	1.88449483814185e-39	-0.534067508290637	0.609	0.751	3.72941528468271e-35
DDIT4	1.94222192740316e-39	-0.644121453311942	0.699	0.807	3.84365719433086e-35
ALDH3A1	3.01823578650819e-39	-7.98259139027196	0	0.037	5.9730886214997e-35
