Group	Sample	cd4_subcluster	.n
Post non-responsive	P13_post_2	s1	137
Post non-responsive	P13_post_2	s2	240
Post non-responsive	P13_post_2	s3	174
Post non-responsive	P13_post_2	s4	182
Post non-responsive	P13_post_2	s5	225
Post non-responsive	P13_post_2	s6	96
Post non-responsive	P13_post_2	s7	42
Post non-responsive	P13_post_2	s8	93
Post non-responsive	P13_post_2	s9	52
Post non-responsive	P13_post_2	s10	97
Post non-responsive	P13_post_2	s11	48
Post non-responsive	P13_post_2	s12	18
Post non-responsive	P1_post_3	s1	206
Post non-responsive	P1_post_3	s2	276
Post non-responsive	P1_post_3	s3	180
Post non-responsive	P1_post_3	s4	55
Post non-responsive	P1_post_3	s5	78
Post non-responsive	P1_post_3	s6	14
Post non-responsive	P1_post_3	s7	82
Post non-responsive	P1_post_3	s8	31
Post non-responsive	P1_post_3	s9	75
Post non-responsive	P1_post_3	s10	44
Post non-responsive	P1_post_3	s11	17
Post non-responsive	P1_post_3	s12	6
Post non-responsive	P36_post_1	s1	297
Post non-responsive	P36_post_1	s2	229
Post non-responsive	P36_post_1	s3	266
Post non-responsive	P36_post_1	s4	299
Post non-responsive	P36_post_1	s5	170
Post non-responsive	P36_post_1	s6	12
Post non-responsive	P36_post_1	s7	71
Post non-responsive	P36_post_1	s8	22
Post non-responsive	P36_post_1	s9	64
Post non-responsive	P36_post_1	s10	55
Post non-responsive	P36_post_1	s11	31
Post non-responsive	P36_post_1	s12	4
Post non-responsive	P37_post_1	s1	20
Post non-responsive	P37_post_1	s2	10
Post non-responsive	P37_post_1	s3	12
Post non-responsive	P37_post_1	s4	6
Post non-responsive	P37_post_1	s5	14
Post non-responsive	P37_post_1	s6	2
Post non-responsive	P37_post_1	s7	6
Post non-responsive	P37_post_1	s8	100
Post non-responsive	P37_post_1	s9	13
Post non-responsive	P37_post_1	s10	14
Post non-responsive	P37_post_1	s11	23
Post non-responsive	P38_post_1	s1	136
Post non-responsive	P38_post_1	s2	72
Post non-responsive	P38_post_1	s3	55
Post non-responsive	P38_post_1	s4	17
Post non-responsive	P38_post_1	s5	19
Post non-responsive	P38_post_1	s6	44
Post non-responsive	P38_post_1	s7	60
Post non-responsive	P38_post_1	s8	627
Post non-responsive	P38_post_1	s9	29
Post non-responsive	P38_post_1	s10	111
Post non-responsive	P38_post_1	s11	133
Post non-responsive	P38_post_1	s12	5
Post responsive	P10_post_1	s1	267
Post responsive	P10_post_1	s2	137
Post responsive	P10_post_1	s3	37
Post responsive	P10_post_1	s4	126
Post responsive	P10_post_1	s5	221
Post responsive	P10_post_1	s6	6
Post responsive	P10_post_1	s7	93
Post responsive	P10_post_1	s8	29
Post responsive	P10_post_1	s9	120
Post responsive	P10_post_1	s10	20
Post responsive	P10_post_1	s11	15
Post responsive	P10_post_1	s12	1
Post responsive	P13_post_1	s1	160
Post responsive	P13_post_1	s2	290
Post responsive	P13_post_1	s3	252
Post responsive	P13_post_1	s4	138
Post responsive	P13_post_1	s5	15
Post responsive	P13_post_1	s6	116
Post responsive	P13_post_1	s7	137
Post responsive	P13_post_1	s8	44
Post responsive	P13_post_1	s9	95
Post responsive	P13_post_1	s10	110
Post responsive	P13_post_1	s11	32
Post responsive	P13_post_1	s12	24
Post responsive	P19_post_1	s1	14
Post responsive	P19_post_1	s2	8
Post responsive	P19_post_1	s3	1
Post responsive	P19_post_1	s4	238
Post responsive	P19_post_1	s5	172
Post responsive	P19_post_1	s6	5
Post responsive	P19_post_1	s7	106
Post responsive	P19_post_1	s8	586
Post responsive	P19_post_1	s9	59
Post responsive	P19_post_1	s10	7
Post responsive	P19_post_1	s11	12
Post responsive	P1_post_1	s1	97
Post responsive	P1_post_1	s2	176
Post responsive	P1_post_1	s3	331
Post responsive	P1_post_1	s4	69
Post responsive	P1_post_1	s5	39
Post responsive	P1_post_1	s6	14
Post responsive	P1_post_1	s7	107
Post responsive	P1_post_1	s8	39
Post responsive	P1_post_1	s9	45
Post responsive	P1_post_1	s10	73
Post responsive	P1_post_1	s11	37
Post responsive	P1_post_1	s12	17
Post responsive	P1_post_2	s1	233
Post responsive	P1_post_2	s2	266
Post responsive	P1_post_2	s3	195
Post responsive	P1_post_2	s4	116
Post responsive	P1_post_2	s5	205
Post responsive	P1_post_2	s6	54
Post responsive	P1_post_2	s7	156
Post responsive	P1_post_2	s8	30
Post responsive	P1_post_2	s9	102
Post responsive	P1_post_2	s10	62
Post responsive	P1_post_2	s11	20
Post responsive	P1_post_2	s12	12
Post responsive	P29_post_1	s1	52
Post responsive	P29_post_1	s2	47
Post responsive	P29_post_1	s3	73
Post responsive	P29_post_1	s4	58
Post responsive	P29_post_1	s5	43
Post responsive	P29_post_1	s6	35
Post responsive	P29_post_1	s7	67
Post responsive	P29_post_1	s8	48
Post responsive	P29_post_1	s9	30
Post responsive	P29_post_1	s10	52
Post responsive	P29_post_1	s11	23
Post responsive	P29_post_1	s12	4
Post responsive	P30_post_1	s1	375
Post responsive	P30_post_1	s2	427
Post responsive	P30_post_1	s3	159
Post responsive	P30_post_1	s4	401
Post responsive	P30_post_1	s5	155
Post responsive	P30_post_1	s6	45
Post responsive	P30_post_1	s7	169
Post responsive	P30_post_1	s8	142
Post responsive	P30_post_1	s9	172
Post responsive	P30_post_1	s10	21
Post responsive	P30_post_1	s11	89
Post responsive	P30_post_1	s12	4
Post responsive	P33_post_1	s1	295
Post responsive	P33_post_1	s2	382
Post responsive	P33_post_1	s3	126
Post responsive	P33_post_1	s4	68
Post responsive	P33_post_1	s5	240
Post responsive	P33_post_1	s6	64
Post responsive	P33_post_1	s7	218
Post responsive	P33_post_1	s8	195
Post responsive	P33_post_1	s9	74
Post responsive	P33_post_1	s10	27
Post responsive	P33_post_1	s11	38
Post responsive	P33_post_1	s12	11
Post responsive	P35_post_1	s1	652
Post responsive	P35_post_1	s2	518
Post responsive	P35_post_1	s3	40
Post responsive	P35_post_1	s4	177
Post responsive	P35_post_1	s5	253
Post responsive	P35_post_1	s6	18
Post responsive	P35_post_1	s7	229
Post responsive	P35_post_1	s8	149
Post responsive	P35_post_1	s9	220
Post responsive	P35_post_1	s10	29
Post responsive	P35_post_1	s11	14
Post responsive	P35_post_1	s12	7
Treatment naive	P10_pre	s1	730
Treatment naive	P10_pre	s2	742
Treatment naive	P10_pre	s3	157
Treatment naive	P10_pre	s4	223
Treatment naive	P10_pre	s5	118
Treatment naive	P10_pre	s6	466
Treatment naive	P10_pre	s7	362
Treatment naive	P10_pre	s8	61
Treatment naive	P10_pre	s9	281
Treatment naive	P10_pre	s10	191
Treatment naive	P10_pre	s11	9
Treatment naive	P10_pre	s12	33
Treatment naive	P11_pre	s1	121
Treatment naive	P11_pre	s2	97
Treatment naive	P11_pre	s3	76
Treatment naive	P11_pre	s4	76
Treatment naive	P11_pre	s5	34
Treatment naive	P11_pre	s6	13
Treatment naive	P11_pre	s7	34
Treatment naive	P11_pre	s8	70
Treatment naive	P11_pre	s9	20
Treatment naive	P11_pre	s10	32
Treatment naive	P11_pre	s11	31
Treatment naive	P11_pre	s12	2
Treatment naive	P12_pre	s1	155
Treatment naive	P12_pre	s2	106
Treatment naive	P12_pre	s3	102
Treatment naive	P12_pre	s4	213
Treatment naive	P12_pre	s5	86
Treatment naive	P12_pre	s6	122
Treatment naive	P12_pre	s7	51
Treatment naive	P12_pre	s8	25
Treatment naive	P12_pre	s9	52
Treatment naive	P12_pre	s10	69
Treatment naive	P12_pre	s11	6
Treatment naive	P12_pre	s12	13
Treatment naive	P13_pre	s1	64
Treatment naive	P13_pre	s2	161
Treatment naive	P13_pre	s3	82
Treatment naive	P13_pre	s4	40
Treatment naive	P13_pre	s5	20
Treatment naive	P13_pre	s6	32
Treatment naive	P13_pre	s7	77
Treatment naive	P13_pre	s8	6
Treatment naive	P13_pre	s9	38
Treatment naive	P13_pre	s10	20
Treatment naive	P13_pre	s11	5
Treatment naive	P13_pre	s12	8
Treatment naive	P14_pre	s1	206
Treatment naive	P14_pre	s2	282
Treatment naive	P14_pre	s3	38
Treatment naive	P14_pre	s4	108
Treatment naive	P14_pre	s5	79
Treatment naive	P14_pre	s6	17
Treatment naive	P14_pre	s7	57
Treatment naive	P14_pre	s8	36
Treatment naive	P14_pre	s9	118
Treatment naive	P14_pre	s10	18
Treatment naive	P14_pre	s11	18
Treatment naive	P14_pre	s12	7
Treatment naive	P15_pre	s1	117
Treatment naive	P15_pre	s2	77
Treatment naive	P15_pre	s3	147
Treatment naive	P15_pre	s4	74
Treatment naive	P15_pre	s5	54
Treatment naive	P15_pre	s6	25
Treatment naive	P15_pre	s7	49
Treatment naive	P15_pre	s8	22
Treatment naive	P15_pre	s9	41
Treatment naive	P15_pre	s10	22
Treatment naive	P15_pre	s11	27
Treatment naive	P15_pre	s12	7
Treatment naive	P16_pre	s1	58
Treatment naive	P16_pre	s2	110
Treatment naive	P16_pre	s3	24
Treatment naive	P16_pre	s4	125
Treatment naive	P16_pre	s5	45
Treatment naive	P16_pre	s6	8
Treatment naive	P16_pre	s7	96
Treatment naive	P16_pre	s8	36
Treatment naive	P16_pre	s9	78
Treatment naive	P16_pre	s10	3
Treatment naive	P16_pre	s11	10
Treatment naive	P16_pre	s12	1
Treatment naive	P17_pre	s1	42
Treatment naive	P17_pre	s2	49
Treatment naive	P17_pre	s3	84
Treatment naive	P17_pre	s4	25
Treatment naive	P17_pre	s5	52
Treatment naive	P17_pre	s6	13
Treatment naive	P17_pre	s7	20
Treatment naive	P17_pre	s8	35
Treatment naive	P17_pre	s9	11
Treatment naive	P17_pre	s10	40
Treatment naive	P17_pre	s11	12
Treatment naive	P17_pre	s12	5
Treatment naive	P18_pre	s1	280
Treatment naive	P18_pre	s2	89
Treatment naive	P18_pre	s3	140
Treatment naive	P18_pre	s4	120
Treatment naive	P18_pre	s5	81
Treatment naive	P18_pre	s6	11
Treatment naive	P18_pre	s7	58
Treatment naive	P18_pre	s8	52
Treatment naive	P18_pre	s9	86
Treatment naive	P18_pre	s10	65
Treatment naive	P18_pre	s11	19
Treatment naive	P18_pre	s12	3
Treatment naive	P19_pre	s1	288
Treatment naive	P19_pre	s2	150
Treatment naive	P19_pre	s3	177
Treatment naive	P19_pre	s4	534
Treatment naive	P19_pre	s5	157
Treatment naive	P19_pre	s6	104
Treatment naive	P19_pre	s7	106
Treatment naive	P19_pre	s8	140
Treatment naive	P19_pre	s9	79
Treatment naive	P19_pre	s10	295
Treatment naive	P19_pre	s11	17
Treatment naive	P19_pre	s12	8
Treatment naive	P1_pre	s1	185
Treatment naive	P1_pre	s2	195
Treatment naive	P1_pre	s3	548
Treatment naive	P1_pre	s4	102
Treatment naive	P1_pre	s5	86
Treatment naive	P1_pre	s6	96
Treatment naive	P1_pre	s7	140
Treatment naive	P1_pre	s8	32
Treatment naive	P1_pre	s9	79
Treatment naive	P1_pre	s10	139
Treatment naive	P1_pre	s11	55
Treatment naive	P1_pre	s12	53
Treatment naive	P20_pre	s1	173
Treatment naive	P20_pre	s2	225
Treatment naive	P20_pre	s3	27
Treatment naive	P20_pre	s4	73
Treatment naive	P20_pre	s5	392
Treatment naive	P20_pre	s6	19
Treatment naive	P20_pre	s7	70
Treatment naive	P20_pre	s8	111
Treatment naive	P20_pre	s9	58
Treatment naive	P20_pre	s10	22
Treatment naive	P20_pre	s11	19
Treatment naive	P20_pre	s12	3
Treatment naive	P21_pre	s1	226
Treatment naive	P21_pre	s2	130
Treatment naive	P21_pre	s3	14
Treatment naive	P21_pre	s4	63
Treatment naive	P21_pre	s5	124
Treatment naive	P21_pre	s6	32
Treatment naive	P21_pre	s7	68
Treatment naive	P21_pre	s8	61
Treatment naive	P21_pre	s9	52
Treatment naive	P21_pre	s10	75
Treatment naive	P21_pre	s11	5
Treatment naive	P21_pre	s12	1
Treatment naive	P22_pre	s1	80
Treatment naive	P22_pre	s2	45
Treatment naive	P22_pre	s3	38
Treatment naive	P22_pre	s4	24
Treatment naive	P22_pre	s5	29
Treatment naive	P22_pre	s6	9
Treatment naive	P22_pre	s7	24
Treatment naive	P22_pre	s8	8
Treatment naive	P22_pre	s9	21
Treatment naive	P22_pre	s10	10
Treatment naive	P22_pre	s11	6
Treatment naive	P23_pre	s1	206
Treatment naive	P23_pre	s2	266
Treatment naive	P23_pre	s3	84
Treatment naive	P23_pre	s4	101
Treatment naive	P23_pre	s5	72
Treatment naive	P23_pre	s6	50
Treatment naive	P23_pre	s7	110
Treatment naive	P23_pre	s8	32
Treatment naive	P23_pre	s9	95
Treatment naive	P23_pre	s10	12
Treatment naive	P23_pre	s11	14
Treatment naive	P23_pre	s12	10
Treatment naive	P24_pre	s1	107
Treatment naive	P24_pre	s2	69
Treatment naive	P24_pre	s3	62
Treatment naive	P24_pre	s4	42
Treatment naive	P24_pre	s5	16
Treatment naive	P24_pre	s6	23
Treatment naive	P24_pre	s7	33
Treatment naive	P24_pre	s8	28
Treatment naive	P24_pre	s9	46
Treatment naive	P24_pre	s10	54
Treatment naive	P24_pre	s11	14
Treatment naive	P24_pre	s12	5
Treatment naive	P25_pre	s1	159
Treatment naive	P25_pre	s2	192
Treatment naive	P25_pre	s3	278
Treatment naive	P25_pre	s4	49
Treatment naive	P25_pre	s5	57
Treatment naive	P25_pre	s6	1895
Treatment naive	P25_pre	s7	158
Treatment naive	P25_pre	s8	18
Treatment naive	P25_pre	s9	85
Treatment naive	P25_pre	s10	97
Treatment naive	P25_pre	s11	17
Treatment naive	P25_pre	s12	407
Treatment naive	P25_pre	s13	68
Treatment naive	P26_pre	s1	30
Treatment naive	P26_pre	s2	26
Treatment naive	P26_pre	s3	6
Treatment naive	P26_pre	s4	13
Treatment naive	P26_pre	s5	15
Treatment naive	P26_pre	s6	6
Treatment naive	P26_pre	s7	16
Treatment naive	P26_pre	s8	13
Treatment naive	P26_pre	s9	20
Treatment naive	P26_pre	s11	3
Treatment naive	P27_pre	s1	100
Treatment naive	P27_pre	s2	198
Treatment naive	P27_pre	s3	40
Treatment naive	P27_pre	s4	88
Treatment naive	P27_pre	s5	110
Treatment naive	P27_pre	s6	84
Treatment naive	P27_pre	s7	76
Treatment naive	P27_pre	s8	55
Treatment naive	P27_pre	s9	61
Treatment naive	P27_pre	s10	7
Treatment naive	P27_pre	s11	10
Treatment naive	P27_pre	s12	10
Treatment naive	P28_pre	s1	128
Treatment naive	P28_pre	s2	110
Treatment naive	P28_pre	s3	154
Treatment naive	P28_pre	s4	24
Treatment naive	P28_pre	s5	220
Treatment naive	P28_pre	s6	117
Treatment naive	P28_pre	s7	45
Treatment naive	P28_pre	s8	82
Treatment naive	P28_pre	s9	19
Treatment naive	P28_pre	s10	110
Treatment naive	P28_pre	s11	69
Treatment naive	P28_pre	s12	32
Treatment naive	P29_pre	s1	154
Treatment naive	P29_pre	s2	113
Treatment naive	P29_pre	s3	87
Treatment naive	P29_pre	s4	92
Treatment naive	P29_pre	s5	35
Treatment naive	P29_pre	s6	64
Treatment naive	P29_pre	s7	71
Treatment naive	P29_pre	s8	17
Treatment naive	P29_pre	s9	62
Treatment naive	P29_pre	s10	43
Treatment naive	P29_pre	s11	4
Treatment naive	P29_pre	s12	7
Treatment naive	P2_pre	s1	320
Treatment naive	P2_pre	s2	116
Treatment naive	P2_pre	s3	79
Treatment naive	P2_pre	s4	209
Treatment naive	P2_pre	s5	61
Treatment naive	P2_pre	s6	56
Treatment naive	P2_pre	s7	49
Treatment naive	P2_pre	s8	26
Treatment naive	P2_pre	s9	134
Treatment naive	P2_pre	s10	17
Treatment naive	P2_pre	s11	16
Treatment naive	P2_pre	s12	8
Treatment naive	P30_pre	s1	110
Treatment naive	P30_pre	s2	136
Treatment naive	P30_pre	s3	251
Treatment naive	P30_pre	s4	36
Treatment naive	P30_pre	s5	99
Treatment naive	P30_pre	s6	64
Treatment naive	P30_pre	s7	39
Treatment naive	P30_pre	s8	24
Treatment naive	P30_pre	s9	28
Treatment naive	P30_pre	s10	107
Treatment naive	P30_pre	s11	28
Treatment naive	P30_pre	s12	21
Treatment naive	P33_pre	s1	52
Treatment naive	P33_pre	s2	154
Treatment naive	P33_pre	s3	202
Treatment naive	P33_pre	s4	52
Treatment naive	P33_pre	s5	17
Treatment naive	P33_pre	s6	225
Treatment naive	P33_pre	s7	78
Treatment naive	P33_pre	s8	9
Treatment naive	P33_pre	s9	53
Treatment naive	P33_pre	s10	19
Treatment naive	P33_pre	s11	18
Treatment naive	P33_pre	s12	65
Treatment naive	P34_pre	s1	149
Treatment naive	P34_pre	s2	241
Treatment naive	P34_pre	s3	179
Treatment naive	P34_pre	s4	274
Treatment naive	P34_pre	s5	176
Treatment naive	P34_pre	s6	5
Treatment naive	P34_pre	s7	94
Treatment naive	P34_pre	s8	51
Treatment naive	P34_pre	s9	89
Treatment naive	P34_pre	s10	65
Treatment naive	P34_pre	s11	29
Treatment naive	P34_pre	s12	2
Treatment naive	P35_pre	s1	193
Treatment naive	P35_pre	s2	306
Treatment naive	P35_pre	s3	164
Treatment naive	P35_pre	s4	181
Treatment naive	P35_pre	s5	126
Treatment naive	P35_pre	s6	118
Treatment naive	P35_pre	s7	68
Treatment naive	P35_pre	s8	65
Treatment naive	P35_pre	s9	82
Treatment naive	P35_pre	s10	48
Treatment naive	P35_pre	s11	19
Treatment naive	P35_pre	s12	23
Treatment naive	P3_pre	s1	3
Treatment naive	P3_pre	s2	42
Treatment naive	P3_pre	s3	19
Treatment naive	P3_pre	s4	8
Treatment naive	P3_pre	s5	325
Treatment naive	P3_pre	s6	25
Treatment naive	P3_pre	s7	54
Treatment naive	P3_pre	s8	48
Treatment naive	P3_pre	s9	1
Treatment naive	P3_pre	s10	16
Treatment naive	P3_pre	s11	9
Treatment naive	P3_pre	s12	8
Treatment naive	P4_pre	s1	78
Treatment naive	P4_pre	s2	78
Treatment naive	P4_pre	s3	49
Treatment naive	P4_pre	s4	32
Treatment naive	P4_pre	s5	12
Treatment naive	P4_pre	s6	12
Treatment naive	P4_pre	s7	19
Treatment naive	P4_pre	s8	17
Treatment naive	P4_pre	s9	29
Treatment naive	P4_pre	s10	24
Treatment naive	P4_pre	s11	6
Treatment naive	P4_pre	s12	2
Treatment naive	P5_pre	s1	32
Treatment naive	P5_pre	s2	13
Treatment naive	P5_pre	s3	25
Treatment naive	P5_pre	s4	4
Treatment naive	P5_pre	s5	9
Treatment naive	P5_pre	s6	8
Treatment naive	P5_pre	s7	5
Treatment naive	P5_pre	s8	9
Treatment naive	P5_pre	s9	16
Treatment naive	P5_pre	s10	8
Treatment naive	P5_pre	s11	2
Treatment naive	P5_pre	s12	2
Treatment naive	P6_pre	s1	168
Treatment naive	P6_pre	s2	117
Treatment naive	P6_pre	s3	51
Treatment naive	P6_pre	s4	66
Treatment naive	P6_pre	s5	113
Treatment naive	P6_pre	s6	10
Treatment naive	P6_pre	s7	53
Treatment naive	P6_pre	s8	26
Treatment naive	P6_pre	s9	57
Treatment naive	P6_pre	s10	11
Treatment naive	P6_pre	s11	9
Treatment naive	P6_pre	s12	1
Treatment naive	P7_pre	s1	44
Treatment naive	P7_pre	s2	12
Treatment naive	P7_pre	s3	29
Treatment naive	P7_pre	s4	1
Treatment naive	P7_pre	s5	16
Treatment naive	P7_pre	s6	4
Treatment naive	P7_pre	s7	8
Treatment naive	P7_pre	s8	17
Treatment naive	P7_pre	s9	7
Treatment naive	P7_pre	s10	23
Treatment naive	P7_pre	s11	4
Treatment naive	P7_pre	s12	2
Treatment naive	P8_pre	s1	92
Treatment naive	P8_pre	s2	25
Treatment naive	P8_pre	s3	105
Treatment naive	P8_pre	s4	15
Treatment naive	P8_pre	s5	16
Treatment naive	P8_pre	s6	13
Treatment naive	P8_pre	s7	23
Treatment naive	P8_pre	s8	29
Treatment naive	P8_pre	s9	11
Treatment naive	P8_pre	s10	100
Treatment naive	P8_pre	s11	9
Treatment naive	P8_pre	s12	1
Treatment naive	P9_pre	s1	38
Treatment naive	P9_pre	s2	55
Treatment naive	P9_pre	s3	26
Treatment naive	P9_pre	s4	7
Treatment naive	P9_pre	s5	36
Treatment naive	P9_pre	s6	32
Treatment naive	P9_pre	s7	28
Treatment naive	P9_pre	s8	14
Treatment naive	P9_pre	s9	11
Treatment naive	P9_pre	s10	38
Treatment naive	P9_pre	s11	2
Treatment naive	P9_pre	s12	7
